Topic,Host,Speakers,Slides,year
October 29: SPARQL with R,"Statistisches Amt, Kanton Zürich",Katharina Kaelin,https://github.com/statistikZH/SPARQL_WITH_R,2020
January 29: From survival analysis to projecting disability payments,PartnerRe,"Benjamin Abt, Simon Adamov",https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20200129_PartnerRe.pdf,2020
January 29: Data Science at UPC,UPC,Felix Reisen,,2020
January 29: shinyMobile: mobile ready shiny apps,Novartis,David Granjon,,2020
November 13: Predicting the departing runway of a flight based on a classification tree model,Zurich Airport,Benjamin Perucco,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20191113_Perucco.pdf,2019
November 13: NOTAM message classifier,Swiss International Air Lines,Joao Banha,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20191113_Banha.pdf,2019
October 14: quanteda - Quantitative Analysis of Textual Data,UZH,Stefan Müller,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20191014_quanteda.pdf,2019
October 14: useR!2019 Toulouse : ZRH-PARIS-BORDEAUX-TOULOUSE,KOF/ETHZ,Matthias Bannert,,2019
September 16: Relational data models with the dm package,cynkra,Kirill Müller,https://github.com/cynkra/dm/blob/main/demo/zurich.R,2019
September 16: Tracking Real Estate Project Web Sites with R,Datahouse AG,Thomas Maier,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20190916_Pres_Datahouse_Crawling.pdf,2019
June 18: Use case of reinforcement-learning exemplified by Super Mario AI,STATWORX,"Sebastian Heinz, Oliver Guggenbühl",https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20190618_reinforcelearn.pdf,2019
June 18: Analytical Data Management with R,"CWI, University of Amsterdam (UvA)",Hannes Mühleisen,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20190618_duckdb.pdf,2019
May 22: Docker for R users,Helbling Technik AG,Lynda Metref,https://lyndametref.github.io/docker4r-presentation/docs/#1,2019
May 22: Toward production-ready user interfaces with the R Shiny framework,UZH,David Granjon,,2019
April 03: Medical underwriting triage: An end-to-end machine learning case study,PartnerRe,Alexander Noll,,2019
April 03: Introducing chartbookR,SUVA,Kilian Reber,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20190403_Reber_chartbookR.pdf,2019
February 19: On weapons and dialects: The initial hypothesis and the final story,NZZ,Marie-José Kolly,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20190219_talkMJK.pdf,2019
February 19: Data driven journalism at Tamedia,Tamedia,Patrick Meier,https://docs.google.com/presentation/d/1wWc-yjw33mIA8SrOQd16OoIID54L0wU5mNV4410RxKk/edit#slide=id.g190c2b510c_3_252,2019
December 5: What I find important when R Programming - and Recent Cool Features in R,ETH Zurich,Dr. Martin Mächler,https://people.math.ethz.ch/~maechler/U/R/Zurich_R-2018_ProgR-ALTREP.html#1,2018
October 25: A Comparison of Covariate-based Prediction Methods for FIFA World Cups,TU Dortmund,Andreas Groll,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20181025_useR_predicting_FIFA_groll.pdf,2018
October 25: Predicting biathlon shooting performance using machine learning,Swiss Federal Institute of Sport Magglingen/datahouse,Thomas Maier,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20181025_useR_predicting_biathlon_maier.pdf,2018
September 3: blogdown: Creating Websites with R Markdown,"Statistical Office, Canton of Zurich",Thomas Lo Russo,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20180903_blogdown_rmeetup_tlorusso.pdf,2018
September 3: DBI: Recent developments in R’s database interface,cynkra GmbH,Kirill Müller,https://krlmlr.github.io/dbi-slides/2018-09-zurich-meetup/#1,2018
May 16: Micro location rating in real estate,Wüest Partner,Jacqueline Schweizer,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20180516_Pres_Schweizer.pdf,2018
May 16: Speeding R up on your computer by parallelized computations - a geostatistical case study,"Department of Environmental Systems Science, ETH Zurich / Statistik Stadt Zürich",Andreas Papritz,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20180516_Pres_Papritz.pdf,2018
March 21: Long Term Protection Model,"Partner Re, BeDataDriven","Alexis Iglauer, Maarten-Jan Kallen, Dr. Urszula Gasser",https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20180321_LTPM-in-R.pdf,2018
March 21: Social contact network analysis: static versus dynamic (time-stamped) approaches,University of Bern,Beatriz Vidondo,,2018
January 8: Big Data Analytics in R using sparklyr,Mirai-Solutions,Nicola Lambiase,https://de.slideshare.net/slideshow/big-data-analytics-in-r-using-sparklyr/85901606,2018
January 8: Anomaly detection – database integrated,Trivadis,Olaf Nimz,https://de.slideshare.net/slideshow/anomaly-detection-database-integrated/90773021,2018
November 7: Read and process unstructured data with R,"Statistical Office, Canton of Zurich",Max Grütter,https://github.com/statistikZH/RMeetup/blob/master/unstructered_data.pdf,2017
November 7: Mastering Corporate Design with R,"Statistical Office, Canton of Zurich","Andrea Schnell, Thomas Lo Russo",https://schnllr.github.io/Meetup/#1,2017
November 7: Illustration of pupils’ diversity with R,Zurich State Department of Education,Flavian Imlig,,2017
November 7: Making Public Data Public,Christoph Sax Data Analytics,Christoph Sax,http://www.christophsax.comhttps://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/171107-meetup/slides.html#1,2017
September 4: Open machine learning,"Epidemiology, Biostatistics and Prevention Institute, UZH",Heidi Seibold,https://openml.github.io/articleshttps://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/talk_cenisbs_2017/OpenML_CENISBS.html#1,2017
September 4: Dynamic Pricing - Analyzing rapidly-changing prices,datahouse,Daniel Meister,,2017
"September 4: R at Sanitas – Workflow, Problems and Solutions",Sanitas,Patrik Lengacher,https://de.slideshare.net/slideshow/r-at-sanitas-workflow-problems-and-solutions/90772064,2017
May 3: Visualizing the frequency of delays using QGIS and the Leaflet javascript library in R,N/A,"Peter B. Pearman, Thomas Roth",https://de.slideshare.net/slideshow/visualizing-the-frequency-of-transit-delays-using-qgis-and-the-leaflet-javascript-library-in-r/75956655,2017
May 3: Modelling Bus Bunching,N/A,Andrea Farnham,https://de.slideshare.net/slideshow/modeling-bus-bunching/75956675,2017
May 3: How we organized the Hackathon,N/A,Heidi Seibold,,2017
April 10: Slides and tutorial,ETHZ/datatools GmbH,Kirill Müller,https://github.com/krlmlr/remake-slides,2017
"February 6: Introduction to Renjin, the alternative engine for R",BeDataDriven,Maarten-Jan Kallen,https://de.slideshare.net/slideshow/introduction-to-renjin-the-alternative-engine-for-r/72321517,2017
"February 6: R, y u do dis?",N/A,Christoph Molnar,https://github.com/christophM/r-y-u-do-dis/blob/master/presentation.Rmd,2017
February 6: Scraping Interactive Graphs with Selenium,Swiss International Air Lines,Kushtrim Veseli,https://github.com/Zurich-R-User-Group/Zurich-R-User-Group.github.io/blob/master/_files/slides-code/538_polls_all.R,2017
November 29: Make it simpleR!,UBS,Raymond Zychowicz,,2016
November 29: R in Finance: Using R in a productive and highly regulated environment,Mirai Solutions,Gabriel Foix,https://de.slideshare.net/slideshow/rinfinancegabrielfoix/69713063,2016
November 29: R for Car Insurance Product,N/A,Claudio Giancaterino,https://de.slideshare.net/slideshow/how-to-use-r-in-different-professions-r-for-car-insurance-product-speaker-claudio-giancaterino/69713113,2016
November 29: Using Shiny for worldwide climate monitoring,CelsiusPro,David Masson,,2016
September 29: Fast Prototyping in R - a brief Introduction to R Shiny,Zühlke,Nadja Ulrich,https://htmlpreview.github.io/?https://github.com/Zurich-R-User-Group/Zurich-R-User-Group.github.io/blob/master/_fileshttps://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/nadja-shiny/MeetupPresentation.html#/,2016
"September 29: Clean, code, analyze and visualize election data in R: An example from datajournalism",NZZ,"Marie-José Kolly, Marvin Milatz",https://de.slideshare.net/slideshow/where-south-america-is-swinging-to-the-right-an-rdriven-data-journalism-project-from-neue-zrcher-zeitung/66735075,2016
August 4: Analyzing the Bührer family data set using an advanced mosaic plot.,ZHAW,Thomas Roth,https://de.slideshare.net/slideshow/analyzing-the-bhrer-family-data-set-using-an-advanced-mosaic-plot/64776211,2016
August 4: Mapping health during travel: a visualization of a trip through Thailand.,UZH,Andrea Farnham,https://de.slideshare.net/slideshow/visualization-challenge-mapping-health-during-travel/64809303,2016
August 4: Interactive Javascript in R with rCharts,Centralway,Matteo Casserini,https://raw.githubusercontent.com/Zurich-R-User-Group/Zurich-R-User-Group.github.io/master/_fileshttps://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/matteo-rcharts/index.html,2016
August 4: Animation of political shifts in elections,SRF,Timo Grossenbacher,https://github.com/srfdata/2015-09-elections-political-shifts/blob/master/analysis/main.Rmd,2016
August 4: An interactive map with R-Shiny and leaflet,Migros,Bojan Škerlak,https://de.slideshare.net/slideshow/an-interactive-map-with-rshiny-and-leaflet/64776313,2016
August 4: Federal election 2015 : visualizing the panachage-statistics,Statistical Office Zurich,Thomas Lo Russo,,2016
August 4: Crosstalk,eBay,Dimitris Psaradellis,https://raw.githubusercontent.com/dimitris1ps/zurichRMeetup/master/meetup.rmd,2016
May 23: Microsoft R Server,Microsoft,Marc Schöni,,2016
May 23: Automated reports at OrganizationView,OrganizationView,Andrew Marritt,https://de.slideshare.net/slideshow/zurich-r-user-group-presentation-may-2016/62328345,2016
March 16: Data journalism,SRF,Timo Grossenbacher,https://grssnbchr.github.io/zrug-rddj/#/slide-1,2016
March 16: Open Data Zurich,Open Data Zurich,"Marco Sieber, Fidel Thomet",https://de.slideshare.net/Opendatazurich/open-data-lt3-r,2016
January 21: Speeding up (big) data manipulation with the data.table package,"Zurich University of Applied Sciences, Institute for Data Analysis and Process Design",Vasily Tolkachev,https://de.slideshare.net/slideshow/speeding-up-big-data-manipulation-with-datatable-package/57405655,2016
January 21: DescTools - Tools for Descriptive Statistics and Exploratory Data Analysis,Helsana/HWZ,Andri Signorell,https://de.slideshare.net/Zurich_R_User_Group/zurich-r-user-group-desc-tools,2016
December 7: Shiny: Make Your R Code Interactive,ETH,Craig Wang,https://de.slideshare.net/slideshow/december-2015-meetup-shiny-make-your-r-code-interactive-craig-wang/55922735,2015
December 7: Exploring knitr,UZH,Isaac Gravestock,,2015
December 7: Improving computational performance with algorithm engineering,ETH,Kirill Müller,https://krlmlr-user15.github.io/presentation/#1,2015
